region_id,station_id,weight
bourgogne,21380001,0.003534
bourgogne,21386001,0.003534
bourgogne,21390001,0.003534
bourgogne,21395001,0.003534
bourgogne,21406001,0.003534
bourgogne,21410001,0.003534
bourgogne,21425001,0.003534
bourgogne,21445001,0.003534
bourgogne,21446001,0.003534
bourgogne,21454001,0.003534
bourgogne,21461001,0.003534
bourgogne,21464001,0.003534
bourgogne,21471001,0.003534
bourgogne,21473001,0.003534
bourgogne,21484001,0.003534
bourgogne,21501003,0.003534
bourgogne,21503001,0.003534
bourgogne,21515001,0.003534
bourgogne,21519001,0.003534
bourgogne,21525001,0.003534
bourgogne,21527001,0.003534
bourgogne,21546001,0.003534
bourgogne,21560001,0.003534
bourgogne,21561001,0.003534
bourgogne,21561003,0.003534
bourgogne,21564001,0.003534
bourgogne,21567001,0.003534
bourgogne,21584001,0.003534
bourgogne,21589001,0.003534
bourgogne,21590001,0.003534
bourgogne,21603001,0.003534
bourgogne,21633002,0.003534
bourgogne,21638002,0.003534
bourgogne,21648001,0.003534
bourgogne,21656001,0.003534
bourgogne,21663001,0.003534
bourgogne,21676001,0.003534
bourgogne,21685001,0.003534
bourgogne,21699001,0.003534
bourgogne,21710004,0.003534
bourgogne,21711001,0.003534
bourgogne,21714001,0.003534
bourgogne,58006001,0.003534
bourgogne,58010003,0.003534
bourgogne,58015001,0.003534
bourgogne,58019001,0.003534
bourgogne,58023001,0.003534
bourgogne,58024002,0.003534
bourgogne,58036002,0.003534
bourgogne,58037004,0.003534
bourgogne,58059001,0.003534
bourgogne,58059004,0.003534
bourgogne,58060001,0.003534
bourgogne,58061001,0.003534
bourgogne,58062001,0.003534
bourgogne,58064001,0.003534
bourgogne,58065001,0.003534
bourgogne,58079001,0.003534
bourgogne,58079004,0.003534
bourgogne,58080001,0.003534
bourgogne,58086001,0.003534
bourgogne,58086002,0.003534
bourgogne,58089001,0.003534
bourgogne,58092001,0.003534
bourgogne,58095001,0.003534
bourgogne,58099001,0.003534
bourgogne,58102001,0.003534
bourgogne,58104001,0.003534
bourgogne,58106002,0.003534
bourgogne,58106005,0.003534
bourgogne,58108001,0.003534
bourgogne,58109001,0.003534
bourgogne,58118001,0.003534
bourgogne,58119001,0.003534
bourgogne,58120004,0.003534
bourgogne,58125002,0.003534
bourgogne,58128002,0.003534
bourgogne,58131001,0.003534
bourgogne,58132001,0.003534
bourgogne,58140001,0.003534
bourgogne,58145002,0.003534
bourgogne,58146001,0.003534
bourgogne,58148001,0.003534
bourgogne,58149001,0.003534
bourgogne,58160001,0.003534
bourgogne,58160002,0.003534
bourgogne,58177001,0.003534
bourgogne,58185001,0.003534
bourgogne,58199001,0.003534
bourgogne,58204001,0.003534
bourgogne,58210002,0.003534
bourgogne,58215005,0.003534
bourgogne,58218006,0.003534
bourgogne,58223001,0.003534
bourgogne,58227001,0.003534
bourgogne,58230001,0.003534
bourgogne,58238002,0.003534
bourgogne,58264001,0.003534
bourgogne,58281001,0.003534
bourgogne,58286001,0.003534
bourgogne,58303001,0.003534
bourgogne,58303002,0.003534
bourgogne,58304001,0.003534
bourgogne,58304005,0.003534
bourgogne,71004001,0.003534
bourgogne,71005001,0.003534
bourgogne,71009002,0.003534
bourgogne,71010001,0.003534
bourgogne,71012002,0.003534
bourgogne,71014004,0.003534
bourgogne,71016001,0.003534
